new_id,quitnow,age,gender,teamrelationship,jobsatisfaction,managerrelationship,tenure,relativepay,deniedpromotion,seniorityrank,mainperformancemetric,noofchildren,variable1,variable2,variable3,variable4,variable5,variable6,variable7,variable8,variable9,variable10,variable11,variable12,variable13,variable14,variable15,variable16,variable17,variable18,variable19,variable20,variable21,variable22,variable23,variable24,variable25,variable26,variable27,variable28,variable29,variable30,variable31,variable32,variable33,variable34,variable35,variable36,variable37,variable38,variable39,variable40,variable41,variable42,variable43,variable44,variable45,variable46,variable47,variable48,variable49,variable50,variable51,variable52,variable53,variable54,latedaysscore,latedays,sickdaysscore,sickdays,projectsrefusedscore,projectsrefused,hrpolicycheckscore,hrpolicycheck,linkedinupdatescore,linkedinupdate,linkedinminutesscore,linkedinminutes,twitterminutesscore,twitterminutes,facebookminutesscore,facebookminutes,instagramminutesscore,instagramminutes,careersearches,linkedinposts,facebookpostsscore,facebookposts,instagrampostsscore,instagramposts,twitterpostsscore,twitterposts,emailswearscore,emailswear,colemailtimescore,colemailtime,supemailtimescore,emailtime,cliemailtimescore,cliemailtime,emailothdeptscore,emailothdept,emailfromothdeptscore,emailfromothdept,zoomcallsscore,zoomcalls,dropzoomcalls,dropzoomcall
11,1,39,1,1.5934079,5,7,10,1.0737857,1,3,4,0,.81499118,1.0439548,.4762491,.40280047,.42728654,.29958755,1.1971508,.78905612,.72461319,.63147485,1.0160934,1.033144,1.8912288,1.6105353,1.7201542,.82192671,1.6593429,.38230562,1.5122883,.77799946,.48183528,1.0021353,.39386696,1.2971947,1.1044524,1.5011996,1.0547616,.22594538,1.2053716,1.3491141,1.1027552,1.4753287,1.3754891,1.3424168,.49145725,1.3725394,-.30809835,-.10049958,.88421685,.92060608,1.3918821,.62249452,1.1250309,1.6582384,1.102867,1.2357379,1.1594986,1.0527033,.093435764,.70690799,.32796922,1.134459,1.7441467,.948098,.95592833,5,-.20693129,0,.82973057,4,-.010285649,0,-.73165733,0,.20592463,77,2.3211722,1548,.64692503,351,2.3148923,3748,.20973761,0,.84538329,2,1.0616426,4,1.7331678,7,1.3386304,5,.90537536,107,.30008018,18,2.95351,89,1.0579708,11,2.3987105,24,.8681497,17,.023334974,1
12,0,40,0,1.2289326,6,8,12,1.4671584,0,3,5,0,.7859745,.49386215,.64913118,.97732401,.56872678,1.2609113,.4705458,.83633828,.46840781,.54805988,.87061208,.91531378,.87553936,.41009849,.51834792,.99752498,1.3615731,.84885675,.75631797,.40152833,.88624066,.83912039,.13241886,.55077004,.84471852,.83176118,1.8190281,.17809644,1.3301605,.16648488,.83145368,.20181169,1.0074092,.42451376,.58108974,1.1273185,.53826225,1.0669557,.52253622,1.0940685,.75528306,.59088349,.71778268,.9641003,.35238335,.054501407,.86734891,.47493881,.036319181,.42603886,1.2315655,.48656502,.84308434,.51970977,-1.3335942,0,.12805164,1,-.073702507,0,-.17044997,0,-1.1123435,0,-.58141434,0,-1.1707608,0,-1.0353904,0,.61054289,988,-.86257136,0,.40284809,1,.64165694,3,.39559931,2,1.2092314,5,-.77965897,97,.50502205,30,-1.4268532,8,2.282249,23,2.7330666,27,.86858428,17,-1.1725354,0
13,1,33,0,1.3045962,5,3,6,1.1600828,0,1,5,0,.76191711,.39662361,.63669389,.6424222,.7815764,.80313981,.97377533,.50157928,.55217594,.46788704,.59126616,.8918677,.43455347,.7953555,.3584311,.34464678,.42306012,.38836223,.1887705,.47343186,.50514144,.81223071,.36158198,.73710704,.61815679,.42091495,.43726575,.50277483,.081861645,.75070477,.73550111,.63813299,.95357138,.56584072,.30513054,.84694284,1.2126913,.28193,.33124763,1.0231103,.74220079,.07809753,.64204496,.91026336,.88712156,.28938895,.41368216,.67167324,.77393216,.59632367,.055568226,.51313394,.2055912,.82003462,-.34534889,0,-.2137512,0,.44675419,2,-.34249046,0,-.11915636,0,.27935436,104,-.63363844,0,-1.4207102,0,.57969284,939,-.97743154,0,.32037863,1,.36273107,1,.052996177,0,1.3168328,5,1.311123,105,-1.4599084,5,-.003185,8,1.9778032,20,1.4687091,15,.27079698,5,-.46143293,0
14,1,31,0,1.5467348,7,4,3,1.281649,1,1,3,0,.22964977,.34465909,.32254431,.084269069,.31534261,.27556106,.37821558,.16700038,.21409976,.35674909,.2820752,.64445221,.47453025,.17658238,.068380825,.28254458,.50286067,.54400861,.28869143,.13453214,.43846285,.19277063,.26551318,.54051232,.29131663,.18065445,.29076442,.051735342,.20452005,.28090039,.27539283,.56201124,.2993499,.25439626,.45436257,.25590983,.46064577,.33848801,.0074574891,.42152146,.41834056,.24900322,.36259815,.18016157,.34305537,.33511904,.43879583,.17017739,.49901962,.085280173,.32981437,.52115208,.56143463,.27548355,-.20941679,0,-.31641805,0,-1.2663332,0,-.68093604,0,-.2502735,0,1.1291049,421,-.54301226,0,-.18888175,0,.51704055,837,-.48522347,0,.44660664,1,.21349858,1,.26910946,1,2.1834459,9,-.53709203,175,-.45084149,5,-1.1841025,8,.40828222,4,1.6781157,17,.38014823,8,-.54081923,0
15,0,32,0,1.182176,7,8,5,1.5343379,0,2,2,0,.56517482,.830953,.29142973,.69924313,.47520098,.42308348,.5762828,.4243573,.79375654,.62829447,.4050445,.58877265,.24658714,.5704276,.63898122,.57725608,.41699153,.53186971,.71859622,.83695912,.75037336,.93902445,.45810512,.55504471,1.0433682,.65529525,.36218378,.19844443,.65346104,.82937241,.74929649,.28043991,.86233687,.82973939,.36234948,.51302081,.55485374,.55777436,.31775048,.28649321,.64556372,-.145487,.37546796,.26420289,.48566434,.11346632,.53652626,.23767555,.65509468,.68275243,.48239627,.548801,.5257737,.4985911,-1.4567496,0,-1.5257378,0,.21802576,1,-1.6890472,0,-.61937219,0,-1.4991035,0,-1.5418029,0,-.58799076,0,.45730859,740,-1.4292945,0,.70396358,1,.085883036,0,.70415747,3,2.5772743,10,-1.1992295,206,-.89858294,5,-1.57406,8,2.8735588,29,3.0080736,30,1.2142792,24,-1.2888491,0
16,0,46,0,1.541423,6,5,17,1.2739747,0,3,8,0,.98335081,.41434383,1.4341856,1.1298426,1.141461,1.3262088,.093182445,.84471947,1.252357,1.6873285,.75789928,1.4913414,.99518621,.47147378,.4868198,.99374014,.6169256,1.2644719,.51899964,1.6545368,.41058972,.56621468,1.094717,1.4737973,.22062354,.98590535,.97701669,.63129693,.84377867,1.0016828,.20272908,2.0322976,.96963906,1.1763633,.15751354,-.032745786,1.4789778,1.4223412,1.5766488,1.1297808,1.0326948,1.2816346,.80651915,1.4247454,1.1903996,.84815037,.8377766,.64702952,.70003861,.024240978,.67111319,1.2719911,1.388132,.80277485,-1.8265941,0,-.81461591,0,-1.6800038,0,-.52936822,0,-.42209017,0,-.58696604,0,-1.2177126,0,-.7903437,0,.92423278,1496,-1.6985461,0,1.8445584,4,1.2794449,5,.40842843,2,2.3884127,10,-.46882012,191,-2.1871963,5,-3.1543725,8,4.9315634,49,3.9094088,39,1.2210897,24,-.5171985,0
17,0,36,1,1.1545795,7,7,8,1.0503795,0,2,5,0,.47273147,.75639749,.79469866,.62376451,.15801747,.43978018,.57402015,.51864451,.46922928,.84614962,.11893484,.37344149,.13463321,.24514668,.56951201,.25733867,.59573358,.061193634,.14953345,.17989793,.58430773,.7988261,.41628596,.62282473,.19179739,.67500627,.32694066,.036653459,.67517018,.28131348,.80042624,.26881623,.31089881,.6828602,.3684212,.68218458,.33848438,.58591604,.24713428,.26822716,.46433836,.47753376,.50911736,.33439198,.26726222,.21055421,.41756734,.63830584,.06106066,.68937248,.66440564,.4874956,.25055999,.329631,-1.8886493,0,-.90325058,0,-2.2815824,0,-2.1142843,0,-2.4435956,0,-.95697129,0,-.53403676,0,-1.5893692,0,.39943826,647,-1.4218432,0,.67559952,1,.21670377,1,.68220913,3,2.4067924,10,-2.1962748,193,-1.2063428,5,-1.8498043,8,2.9511817,30,2.5221329,25,.17975655,4,-2.5017097,0
18,0,31,0,1.5276108,6,6,5,1.3741075,0,1,3,0,.20076698,.78273731,.061302807,.049339704,-.053393364,.71360976,.47525978,.3544035,.73195207,.28978488,.7036885,.53582519,.67672396,.38744673,.6384629,.35049719,.53906453,.26292247,.77226281,.47863603,.5908615,.58984697,.52711374,.20247129,.4940795,.45832348,.17291743,.70859402,.38677105,.16889952,.26772186,.8100878,.4561207,.45635089,.59528029,.68882149,.77387011,.42257899,.50902456,.55230302,.47532672,.58644986,.81726587,.42081884,.57542902,.5062924,.39101878,.2114619,.44563663,.90725136,.25291511,.40979981,.37512299,.53549618,-2.8844447,0,-2.3950622,0,-1.5787146,0,-1.7363286,0,-1.9658866,0,-2.3785532,0,-.44352493,0,-1.0041399,0,.41859457,678,-2.418674,0,.2573224,1,.24640471,1,.3916896,2,4.2037454,17,-1.9200491,336,-2.6408429,5,-1.3998495,8,2.5447667,25,2.1090512,21,.19400345,4,-.87511647,0
19,0,32,0,1.0606776,7,3,3,1.2230532,0,1,4,0,.64162284,-.23821065,.66348428,1.4088124,1.4409382,.8653301,1.8620701,.81078255,1.6536727,1.0613027,1.1382757,1.7459897,1.699904,1.7631125,1.1455557,1.1697645,1.4599117,.9316746,1.6006417,.49179238,2.4269283,1.4271836,.65612084,.43288028,1.9605024,1.5934063,1.7820036,1.3078473,1.6782067,1.4822602,-.26341942,1.328403,1.8085495,.64413005,1.5596908,1.8292447,1.2418138,.9867987,1.4220942,.68175387,1.5128766,1.3232765,.50335962,.17135026,1.4947995,.47193402,.93978202,1.9518286,.65642661,1.6096892,1.1774173,1.2150151,2.4498751,.62591076,1.0838186,5,.59214568,3,.69143611,3,-.44810203,0,-.30879587,0,2.5141346,938,.73371583,489,-.04069433,0,.20953694,339,-1.1624116,0,1.2310895,2,.72739917,3,1.5174654,6,2.290302,9,-.39837945,183,-1.2594489,5,-.58492094,8,2.4920022,25,1.6635369,17,1.7732,35,-.79258752,0
20,0,35,1,1.0730803,6,7,7,1.0356359,0,2,4,0,1.289911,.67252642,1.0683903,1.6611048,1.1660876,.35887778,1.7192122,1.0983353,2.0963821,.87355983,1.1575013,1.8690633,.52518618,.94706362,2.3552136,1.1072481,1.5447385,1.6877587,1.3477162,.90635699,.68075687,1.7161454,.59189665,1.4637065,1.4569758,2.0166872,.84682882,1.4964449,1.0316994,2.2338018,1.0735869,.50668859,1.0853727,.30253083,.69618207,.10979675,.90907943,1.9215069,1.0193605,-.22469254,1.3104417,.73365086,2.1002111,.19353136,1.482244,1.0538241,.78299314,1.4394855,1.1804425,.1117822,1.1143812,.9724068,1.38948,2.0512581,-.61716127,0,.65332854,3,-.40764254,0,.1961409,1,-1.0218787,0,1.5705268,586,-1.3831242,0,.038021926,21,1.728808,2799,-1.290468,0,1.3837665,3,.71180856,3,.090519451,0,2.06304,8,-1.4960066,165,1.0498255,63,.3229036,10,2.311254,23,3.1001577,31,2.1597185,43,-.3957172,0
21,0,37,1,1.4512868,7,8,8,1.037982,0,2,5,0,.29261792,.13602248,.35995978,.21467905,.17231926,.15152863,.30591637,.20074186,.35628027,.4941141,.30520168,.31390584,.34155291,.36672118,-.068722956,.24901058,.28813389,.30023688,.11039782,.56818801,.23843211,.29485396,.26037809,.18737367,.26701668,.1623442,.32174993,.34463957,.15445207,.39926237,.39810255,.36922866,.33856145,.36244416,.080113143,.3475748,.19661053,.39834988,.44446623,.4464395,.37827709,.339261,.38159442,.15992355,.46661806,.3224262,.38710281,.36904773,.32667682,.27106741,.27775535,.35453612,.027312202,.28351158,-1.4043757,0,-2.1295807,0,-1.9802707,0,-2.1186435,0,-.77578098,0,-1.6099828,0,-.28900528,0,-1.5817704,0,.17416085,282,-2.1468449,0,.27453154,1,.22350334,1,.35760775,1,2.995847,12,-1.2024397,240,-1.4237232,5,-1.7316782,8,3.3044875,33,3.0369697,30,.14491506,3,-.93593127,0
22,0,34,1,1.0954294,6,7,7,.96161157,0,2,5,0,.58941817,1.0051986,.82514852,1.3861212,1.5268446,1.2665236,1.6332644,1.8402255,1.1248212,.73754406,1.4848229,.87455344,1.5560682,.60665107,1.3151126,1.4810971,.9262467,.74189091,.68237829,.062728725,.9751476,.7979781,.90906507,1.449881,.69622332,.34261584,.73201424,1.8362633,.68383604,1.4773719,.26339948,.19524771,.81625503,.57622772,1.1134143,1.1173886,.5169794,1.1481901,1.3041238,1.2485484,.66960734,1.2764297,1.1217725,.07615526,1.4123712,1.0323429,1.5099705,.81220859,1.354274,1.2613453,.10047909,1.1068343,.75404477,1.3058492,-.71216041,0,.703866,4,1.1400255,6,-.14797282,0,-.60608351,0,1.4942669,557,-.62953538,0,.44323465,240,1.2896824,2088,-.12192161,0,1.0681478,2,.072940663,0,1.8217121,7,2.5554764,10,-1.0316685,204,-1.1243597,5,.011417647,0,2.8242946,28,2.9802694,30,1.5950605,32,.35159084,11
23,0,37,1,1.1323798,6,5,8,.89613199,0,3,3,0,.61660457,.43431368,1.8164715,1.2130464,1.1002096,1.4649736,1.2612221,.9267841,.6107797,1.7145308,.85426778,.51371467,2.037585,1.5047715,.89803922,1.1200114,1.2539941,.34081444,1.5249442,.97036272,1.3900789,1.0917006,1.8302575,1.8875999,.41534045,.54812491,1.1884161,2.6336148,.57700849,1.5889846,2.0619593,1.0804555,1.1465214,.029720444,.42656997,1.8778439,.86741114,.89604795,1.8202095,.94162679,1.1930438,1.0905175,1.4151136,1.3296034,1.2944335,.33023331,.67779189,1.9143639,1.6694623,1.2487489,1.0438465,.26499367,1.4925619,.78421187,-.12235627,0,-.95560473,0,.86304033,4,-.069448508,0,.48217121,1,2.4987695,932,.71547574,477,-1.5474447,0,.90480328,1465,.50417829,1,.89535409,2,1.2840644,5,1.4498651,6,1.86392,7,-1.1414901,149,.58778393,35,.065672234,2,3.8677123,39,2.4498727,24,2.5309761,51,-1.2736808,0
24,0,30,0,1.3939332,7,5,1,1.2019806,0,2,3,0,.086506605,.68971533,.85094851,.58276981,.086860776,.62220412,.97461945,.023861514,1.0198424,.42263141,1.2263685,.53436267,.16959155,1.0491058,.81516778,.2546204,1.5983645,1.0046221,.79797167,.90892881,.68614936,1.5160718,.67360073,.24154726,.86481917,.43458307,1.1243303,.48138046,.94746655,1.0139937,1.6446126,.77245051,.74890834,.60768038,.89491022,.70414227,.64828759,1.101923,.27869689,.87438387,.21925434,1.1300644,.58608967,1.4928375,.56681585,.82479882,.57762384,.67976421,1.3671035,.16089243,.9064545,.32946658,-.25887057,1.2906526,-1.8929812,0,-1.3970773,0,-1.1169925,0,-.40144178,0,-1.8054368,0,-1.2945281,0,-.61449492,0,-.40450636,0,1.1564858,1872,-1.2512302,0,.66719836,1,.60633564,2,.039125662,0,3.7286031,15,-1.1348468,298,-2.1491451,5,-2.4824739,8,2.2659652,23,1.513756,15,.42032915,8,-1.5810691,0
25,1,31,0,1.1994097,6,4,3,1.2423376,1,1,3,0,.60384351,.44382522,1.5049956,.67883581,1.0532699,1.644832,-.22890009,.71480036,1.0634315,.068983108,.20442173,1.7278991,.59502,.7160992,.47791588,.67003018,1.0782024,1.5380065,.19973458,1.2504699,.21666503,1.3600622,1.0370903,1.5914284,1.4635715,1.7079886,1.1747296,.8044368,1.3646803,.72701591,.14007497,.98776752,.99964726,1.5532784,.53806472,1.1618949,.85012746,1.1511153,.72703809,1.2334727,1.1869695,1.4829665,1.0260808,1.1700828,.7239117,.9531973,1.2481103,-.054208364,.74600929,.7407552,.38983989,.52179211,.63402581,.52444452,.2738694,1,1.7018996,9,.91540939,5,1.7812996,5,-.20516147,0,1.7345901,647,-.46192002,0,1.1345159,615,.62211722,1007,.68983108,1,.64219546,1,.030742818,0,.93748266,4,1.1013796,4,-.47250012,88,1.4617788,88,.82587177,25,.33739468,3,-.11475863,0,.6635983,13,1.7087842,13
26,0,33,0,1.0997213,7,5,6,1.3238795,0,2,4,0,1.4291515,.48018551,.88304168,.67142963,-.32401815,-.130711,1.2919316,.57783592,.84062958,.618128,.74948305,.39965624,1.5128061,1.2983149,.91818261,-.016385382,.18277325,.42161617,.90960765,.47991803,1.1929172,.42673215,1.2079948,.17039344,1.4508617,.88614178,.53006643,1.109076,.90869409,.8748064,.86975098,1.020435,.47368896,.30491066,.40474233,1.1170415,.40144491,.66060734,.9585852,1.1709859,1.1787525,.70264685,-.25473255,.81659079,.45057377,1.4083971,.35663617,.53333908,.98903,.79883558,.7800439,.78336245,1.0898235,.99741191,-.85814446,0,.4589999,2,-.21380772,0,-.3624067,0,-.97997367,0,-1.6753277,0,.9187938,613,-.84505224,0,1.0972496,1776,-1.3058245,0,.21129735,0,1.2836144,5,.88632643,4,2.8880863,12,-1.1561136,231,-.058572724,5,.74469906,22,1.6522361,17,3.0232248,30,.53341633,11,-.19836907,0
